type,caps_text,text_len,excl_text,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
1,1,1040,0,2,8,1,1,5,0,3,10,3,11
1,3,2004,0,4,6,3,6,9,9,6,7,10,18
1,2,2637,0,8,7,8,15,5,12,4,12,17,17
1,6,2518,0,2,6,0,4,3,0,1,11,4,18
1,4,7538,4,12,29,6,9,24,10,14,35,20,67
1,5,2161,0,7,7,5,13,5,5,3,16,15,14
1,5,2759,0,4,11,2,4,6,5,2,15,7,19
1,9,2298,1,3,10,0,1,8,4,4,5,4,16
1,0,1959,0,6,4,2,6,2,5,2,6,8,10
1,2,1285,0,1,3,0,1,2,2,0,2,3,7
1,6,2400,0,4,7,3,2,6,6,2,11,11,14
1,2,1685,0,4,6,2,4,4,6,2,10,13,11
1,2,1806,0,7,11,2,5,7,4,2,10,13,20
1,3,1273,0,2,6,0,1,7,3,3,7,4,14
1,1,2638,0,11,7,6,16,1,5,2,17,20,16
1,7,2148,0,0,4,0,1,2,3,1,8,5,17
1,1,1210,0,8,4,3,9,5,6,5,7,8,10
1,13,3516,0,8,13,2,10,7,7,8,13,14,23
1,1,2385,0,7,7,1,6,2,3,1,10,7,11
1,0,1394,0,2,6,0,1,7,2,4,10,3,16
1,10,2804,0,5,6,3,9,1,5,1,10,14,10
1,3,3267,0,7,12,3,9,6,5,2,11,14,17
1,3,1691,0,1,8,0,2,4,1,2,4,2,11
1,4,3514,0,12,5,8,15,2,6,5,19,17,13
1,3,1279,0,1,1,0,2,1,3,2,7,6,5
1,1,1714,0,4,5,5,2,5,4,4,8,8,12
1,19,2474,0,4,9,0,4,6,2,3,22,7,26
1,5,1769,0,2,5,1,0,2,1,0,2,9,9
1,4,1080,0,1,3,0,2,4,1,2,5,2,10
1,1,1845,0,1,7,0,2,5,0,2,8,4,14
1,5,1950,0,2,5,1,7,3,2,4,7,8,9
1,2,1330,0,2,1,1,1,3,2,2,6,5,7
1,3,1369,0,2,6,3,6,1,5,1,3,8,5
1,7,2599,0,4,11,1,3,4,4,2,10,10,17
1,3,3758,0,10,11,5,12,10,12,8,8,22,21
1,12,3153,0,9,8,4,11,4,4,6,14,21,19
1,10,1495,0,3,2,0,1,2,1,0,5,3,10
1,15,3160,0,6,11,3,4,9,2,2,15,12,25
1,13,3213,0,5,7,1,5,8,6,6,23,17,31
1,4,2047,0,1,3,0,1,2,5,1,11,8,10
1,11,2229,0,1,4,0,2,3,1,1,7,1,11
1,7,2604,0,3,6,1,2,5,6,0,9,8,13
1,3,1558,0,3,4,3,3,2,3,0,4,8,8
1,1,1126,0,2,5,2,3,3,5,1,5,7,7
1,3,1227,0,7,0,0,8,1,2,1,4,10,7
1,3,912,0,1,2,1,0,0,2,0,1,8,3
1,6,2400,0,4,7,3,2,6,6,2,11,11,14
1,10,982,0,1,3,0,1,2,2,2,6,4,8
1,3,1586,0,3,6,4,5,1,4,2,5,6,10
1,2,1559,0,2,6,1,1,6,2,4,7,5,15
1,6,2252,0,4,5,2,8,3,1,0,10,9,12
1,10,5154,0,4,14,3,7,5,5,2,19,10,36
1,2,1457,0,4,6,1,3,4,4,1,3,6,10
1,3,2781,0,8,8,5,9,3,7,5,13,14,19
1,1,1269,0,0,2,1,1,2,0,1,9,4,13
1,6,2636,0,1,11,2,2,9,4,4,13,6,31
1,1,2662,0,10,5,4,11,5,7,4,12,17,15
1,8,1477,0,1,4,1,3,2,1,1,9,2,11
1,1,1955,0,11,6,4,11,5,8,5,10,17,18
1,2,2437,0,4,6,2,5,4,6,5,13,7,18
1,24,3495,0,5,11,2,5,9,7,5,12,9,26
1,1,1178,0,1,3,0,1,7,0,3,6,2,14
1,1,1455,0,3,5,1,5,2,3,1,5,7,7
1,7,2248,0,5,11,3,9,3,7,2,13,13,18
1,13,1588,0,4,5,3,2,4,2,0,11,8,15
1,9,2712,0,9,6,7,11,3,4,1,12,15,16
1,4,1667,0,1,7,0,2,1,2,3,9,4,14
1,3,1659,0,1,4,0,1,4,4,1,5,4,9
1,1,2846,0,11,1,7,13,0,8,3,9,21,10
1,5,1860,0,2,5,1,1,1,2,0,2,9,9
1,12,3434,2,3,9,2,5,10,5,9,10,10,20
1,5,2523,0,6,6,3,9,2,8,1,9,15,14
1,5,2300,0,0,6,0,2,0,3,2,6,5,7
1,0,1154,0,5,4,1,6,3,4,0,7,9,7
1,1,2873,0,10,4,5,11,0,7,1,16,19,16
1,5,2173,0,3,5,2,6,2,7,1,9,11,10
1,3,1232,0,4,3,0,3,2,3,0,3,4,6
1,2,2693,0,6,8,3,8,5,4,3,14,11,22
1,3,1643,0,0,6,1,1,2,2,3,6,3,9
1,3,1461,1,0,4,0,1,6,1,2,7,1,15
1,2,2552,0,5,9,2,6,5,5,3,13,13,22
1,2,1704,0,2,6,1,5,3,3,1,5,6,9
1,6,825,0,1,3,0,0,4,1,2,2,1,9
1,14,2972,0,9,7,5,8,3,4,2,16,16,16
1,1,1599,0,7,4,4,9,1,9,1,5,14,7
1,1,1714,0,4,5,5,2,5,4,4,8,8,12
1,1,1575,0,2,6,1,6,2,2,2,6,6,7
